gene,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B,diffexpressed
Gene101,0.09440707359487277,-0.4787687708703797,0.6675829180601253,12.951830034914176,0.32764609272364675,0.7440122722181572,0.9231055092848313,-7.2628173417450155,no
Gene67,0.07362715666041275,-0.48348948902061406,0.6307438023414396,12.860200002616027,0.2628082937948685,0.7933416148563561,0.9231055092848313,-7.263940345088518,no
Gene76,0.06871314663301575,-0.5074866766950584,0.6449129699610899,12.888650360983915,0.2372220492333745,0.813074746137848,0.9231055092848313,-7.291652134729474,no
Gene79,0.06719428960060725,-0.3646719177645134,0.4990604969657279,13.097633934732208,0.309407129167884,0.7577777618559929,0.9231055092848313,-7.497159833411073,no
Gene77,0.06289535840694604,-0.4192602544297905,0.5450509712436826,12.909061167229575,0.25940511876095557,0.7959571323805195,0.9231055092848313,-7.339318342170179,no
Gene31,0.05777436107787359,-0.3344393930160082,0.4499881151717554,13.174643997062594,0.2929270676677516,0.7703000333854101,0.9231055092848313,-7.559749629128237,no
Gene94,0.0343304799238453,-0.3631572272059934,0.431818187053684,13.215727217050869,0.1717526097587077,0.8640449688792767,0.945049184711709,-7.615617892450183,no
Gene81,0.023739385032598648,-0.44218584228228464,0.48966461234748193,12.962140966129372,0.1013212200772169,0.9195368424217735,0.9564677727198369,-7.43395855568842,no
Gene29,0.020536601627870965,-0.4557125219051346,0.49678572516087655,12.97078349766311,0.08575146757328324,0.9318679760289199,0.9564677727198369,-7.414780476565534,no
Gene39,0.014416536355332354,-0.4398560692109907,0.4686891419216554,13.029509686646966,0.06310903736887054,0.9498295543227161,0.9589625308065883,-7.477400658390114,no
Gene33,-0.010212407059865924,-0.47995048582625965,0.4595256717065278,12.939173898279016,-0.043233413050103524,0.9656180368275333,0.9656180368275333,-7.41991538624676,no
Gene49,-0.019583934163321715,-0.5207844391597424,0.48161657083309894,12.951487294001698,-0.07770261105507895,0.9382493389537447,0.9564677727198369,-7.420253497382401,no
Gene83,-0.028502999965644094,-0.5239489525584455,0.4669429526271574,12.869802030015002,-0.11440406591409949,0.9091904033194204,0.9564677727198369,-7.322832077264486,no
Gene53,-0.029645377039830834,-0.5871828217890808,0.5278920677094191,12.99916663975431,-0.10601227832842314,0.9158699961530905,0.9564677727198369,-7.455354930737541,no
Gene95,-0.030133941832641398,-0.6302896347198846,0.5700217510546018,12.809035479848262,-0.09984795805611232,0.920702859848425,0.9564677727198369,-7.2085665312520755,no
Gene58,-0.03575140100163132,-0.549633616931152,0.47813081492788934,12.909016723699965,-0.13834919907203583,0.8902954441431641,0.9564677727198369,-7.366159345669557,no
Gene52,-0.04605964746404645,-0.4299628665025994,0.3378435715745065,13.157689572164035,-0.23858658889550247,0.8120070416511865,0.9231055092848313,-7.577620879534459,no
Gene64,-0.050784873915965534,-0.46824392720810304,0.36667417937617197,13.061356135763127,-0.2419177122489846,0.8094333306680087,0.9231055092848313,-7.4555710061792535,no
Gene85,-0.051759285015158696,-0.5036061872061569,0.4000876171758395,13.030560894678237,-0.22779497075168065,0.8203589922469039,0.9231055092848313,-7.46155229861746,no
Gene42,-0.05258338322803624,-0.5536342361119282,0.4484674696558557,12.861511478215807,-0.20869588781455423,0.835190698876752,0.9231055092848313,-7.247720949093004,no
Gene80,-0.05521902294627701,-0.43398651112662284,0.3235484652340688,13.178366627182106,-0.28991000014563467,0.7725992595880232,0.9231055092848313,-7.581048195794993,no
Gene32,-0.05597880135851874,-0.4873423286972896,0.37538472598025213,13.01402487757706,-0.258063952871004,0.7969885315037559,0.9231055092848313,-7.438028036632064,no
Gene88,-0.058119089639836474,-0.5778683450000716,0.4616301657203986,12.918811816586956,-0.22236790240109533,0.8245670744350185,0.9231055092848313,-7.3618045593351376,no
Gene15,-0.059111644857299694,-0.5987647601608483,0.48054147044624895,12.809051305251938,-0.21782389921605477,0.8280943963441165,0.9231055092848313,-7.270494188682766,no
Gene104,-0.06151963861284315,-0.5361543768091834,0.4131150995834972,12.94147373683154,-0.2577516339148052,0.7972287665762434,0.9231055092848313,-7.371458321488609,no
Gene25,-0.06284241944901048,-0.4882906336321375,0.3626057947341165,13.094428340041874,-0.29373342158951044,0.7696858796009951,0.9231055092848313,-7.480471200636236,no
Gene59,-0.0660666280588984,-0.5133064926772495,0.3811732365594526,12.94214168524405,-0.29375739377193183,0.7696676236057572,0.9231055092848313,-7.369417721428518,no
Gene6,-0.09490359873607446,-0.5315909476391332,0.3417837501669842,13.059841208585798,-0.43217460425052134,0.6667215081665557,0.9231055092848313,-7.4154087221576965,no
Gene11,-0.09549786917904157,-0.5616785535207561,0.370682815162673,12.944062827346283,-0.40736768823659675,0.6847738590925667,0.9231055092848313,-7.35384559363509,no
Gene65,-0.10541379348888569,-0.5500595144976805,0.3392319275199092,13.072017306896301,-0.47144441725460884,0.6385451496234547,0.9207010199075913,-7.373403958644097,no
Gene20,-0.11021962904186466,-0.6385829101329195,0.41814365204919013,12.998783153299065,-0.41539922108349137,0.6790070761371714,0.9231055092848313,-7.344137390250079,no
Gene36,-0.11543084250579838,-0.5682359361136259,0.3373742511020291,12.987168758041062,-0.5069413698782215,0.6135236880912264,0.9207010199075913,-7.295996316768758,no
Gene92,-0.11893497692307164,-0.5621588121821017,0.32428885833595844,13.017838903550158,-0.5336219154070843,0.5950118631678096,0.9207010199075913,-7.338871322618606,no
Gene98,-0.14459085235953317,-0.7573417861438322,0.46816008142476584,12.710594175666042,-0.46924970502353974,0.6401064233643254,0.9207010199075913,-7.054655739392166,no
Gene72,-0.144826733835,-0.5434886810359181,0.253835213365918,13.096649463209115,-0.722422269221928,0.4720406451625464,0.8539804555110484,-7.270151438748867,no
Gene13,-0.15459152535738774,-0.7747250731622811,0.46554202244750564,12.737257707620097,-0.49589393088464045,0.6212925235599673,0.9207010199075913,-7.122066810786828,no
Gene90,-0.15661664895792882,-0.6965959721844115,0.38336267426855386,12.881768665068334,-0.5767770471433872,0.5656319965726452,0.8998690854564809,-7.150081496589717,no
