gene,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B,diffexpressed
SLC25A11,-0.3370985420377939,-0.8830956361556825,0.20889855208009478,3.634761160239113,-1.2618789729539432,0.2168938041498949,0.6582305943879675,-5.1684755703763825,no
LYZ,-0.3373556723043132,-0.9477787986417138,0.2730674540330874,6.861945837536105,-1.1317195954153714,0.2672867226609733,0.7001552372224081,-5.592399428650631,no
ZMYND15,-0.33744529474510365,-1.1654358336203818,0.49054524413017453,1.4263491077453887,-0.8329696222296491,0.41156553563587717,0.7953846155446246,-5.246366586488461,no
PRDM1,-0.3375493552603812,-0.9195523676595013,0.2444536571387389,4.279873795180295,-1.1853953275355247,0.24533694805343934,0.6849493364989495,-5.362392587984041,no
TMEM242,-0.33778017357767576,-1.219372196160307,0.5438118490049555,2.2929485276267187,-0.7831007928486053,0.43981940563449795,0.8093105459199731,-5.344457184949212,no
UBE2N,-0.3377927863035506,-0.8513558739288875,0.17577030132178628,4.91711888350312,-1.3443356953333552,0.18910281693171063,0.6323454016584167,-5.264296881384671,no
TMX3,-0.33789805282302243,-0.9232891769755399,0.24749307132949505,3.2206494537502963,-1.179751984686906,0.24754003278222353,0.68778181944112,-5.205475119411557,no
C3orf52,-0.33804436583455244,-1.2945439128628788,0.618455181193774,1.973767946266057,-0.7223373874109128,0.47578347564468015,0.8261322127489035,-5.465134871520623,no
ERG,-0.3387725477272232,-1.046623788485339,0.3690786930308927,7.752031619170466,-0.9832724424075625,0.3344436663936433,0.7505529832459873,-5.715178238585374,no
NUB1,-0.3387806292223292,-0.7248607384136891,0.04729947996903067,5.891314435425669,-1.7934625139209155,0.08317321483983758,0.5021882286989987,-4.6902522330402014,no
DRAIC,-0.3388629393505038,-1.1233203399806813,0.4455944612796736,2.856078551779432,-0.8828885201845219,0.38444581308012116,0.7856571245532341,-5.316328021865095,no
MRPL24,-0.3394696062572047,-0.9091924209548998,0.23025320844049046,4.137164306421003,-1.2178349856490651,0.23295306707779934,0.6729468215262652,-5.287327083162802,no
MRPL20-AS1,-0.33952680092249166,-1.1669828499047996,0.4879292480598163,2.0133442021995114,-0.8386491036083948,0.40842104771127674,0.7949204698939486,-5.2780347073434655,no
TDRD7,-0.33956612843022294,-0.8852876747766999,0.20615541791625402,3.929723345250496,-1.2717578375341145,0.21340946292953689,0.6557026236204113,-5.192833822661937,no
MTMR3,-0.3395730905767236,-0.8341677012829505,0.15502152012950327,3.579779350969022,-1.4032499916237349,0.17099698696994792,0.6176051558059563,-5.0012065028571175,no
BRI3,-0.3396588910023466,-0.8663762546966862,0.18705847269199305,4.728077131569195,-1.318003345335145,0.19766158754456692,0.6391405270519767,-5.295285947939426,no
ENSG00000279277,-0.33970831749254904,-1.1069214457310794,0.42750481074598146,1.8221340747640993,-0.9049848636186173,0.3728167215999113,0.7773102301995313,-5.280070766153507,no
NSDHL,-0.33978217191277515,-0.9580411849209138,0.2784768410953635,2.4387040207702713,-1.1232625836661887,0.2703983779389671,0.7020610496398973,-5.13443203934598,no
DENR,-0.3398115710568579,-0.7022614953926369,0.02263835327892111,5.772286889005117,-1.9162020942234268,0.06508957339840953,0.45981100237019196,-4.478715771786444,no
KRT10,-0.3401963597158506,-0.9491483703798778,0.26875565094817655,4.137843393548722,-1.1418202847933034,0.2627266186316286,0.697833912639604,-5.364013808586622,no
SLC12A4,-0.34053179616851825,-1.3555216481549546,0.6744580558179182,2.244808150493629,-0.6857204946965391,0.498251557940236,0.8391540279395522,-5.294716783603644,no
OSGEP,-0.3405606397324279,-1.0607278840164462,0.37960660455159034,3.2237760792458077,-0.966523125217804,0.3416519611378954,0.7556887919125441,-5.408048041923453,no
PCSK5,-0.340580203420223,-1.0613311821585438,0.38017077531809784,3.5124622563471086,-0.9657958179728966,0.34200976417647766,0.7558110174376035,-5.400210501098683,no
WDR46,-0.3407019221823737,-1.076535626398036,0.3951317820332886,4.226529604771597,-0.9473750748607406,0.3513517890964971,0.7638480673772846,-5.580140400171435,no
DPH3,-0.3407916254308496,-0.8004046855590361,0.1188214346973368,4.653298723607895,-1.5154712920432918,0.1403123803781431,0.5896462497821902,-5.023671639630271,no
SPOCK2,-0.34093661764471017,-1.215447917527456,0.5335746822380357,3.553793011157741,-0.7973711388844645,0.43171960633557194,0.8060957279878068,-5.531594303883814,no
RIOX2,-0.3409544211478126,-0.9373746097794815,0.2554657674838563,3.0384416781935624,-1.1684096934041508,0.2520118877727197,0.6896237695419919,-5.178534989371103,no
PFN1P1,-0.3410484087335255,-1.140315490760504,0.4582186732934529,1.6493015452456088,-0.8721180227336008,0.3901979393462217,0.7879907365665799,-5.226241551196579,no
